99,Gas,1415.16,1152.6,2024-05-20,60
100,Water,1836.82,768.45,2024-12-13,14
101,Electricity,1985.38,2097.93,2024-11-04,14
102,Gas,2263.88,643.26,2024-02-29,14
103,Water,607.97,1847.43,2024-06-28,61
104,Electricity,175.7,307.75,2024-07-25,61
105,Gas,526.16,1941.42,2024-12-01,61
106,Water,2113.01,838.4,2024-10-30,63
107,Electricity,567.3,1975.15,2024-03-29,63
108,Gas,157.45,840.36,2024-05-01,63
109,Water,475.06,425.79,2024-09-05,68
110,Electricity,693.07,1536.8,2024-05-09,68
111,Gas,2387.02,2165.54,2024-10-16,68
112,Water,2376.65,1569.87,2024-06-15,65
113,Electricity,870.6,1673.66,2024-01-01,65
114,Gas,1570.84,1642.06,2024-10-10,65
115,Water,1190.86,831.73,2024-09-18,1
116,Electricity,665.35,1395.07,2024-08-18,1
117,Gas,1185.86,2386.44,2024-08-30,1
118,Water,480.4,1310.03,2024-07-19,24
119,Electricity,1319.54,1594.17,2024-11-30,24
120,Gas,386.3,1301.57,2024-07-20,24
121,Water,227.47,1565.16,2024-11-17,12
122,Electricity,2017.35,1150.76,2024-03-16,12
123,Gas,164.77,1165.14,2024-10-23,12
124,Water,1693.33,805.02,2024-11-28,26
125,Electricity,732.46,134.2,2024-09-17,26
126,Gas,166.45,2485.95,2024-05-25,26
127,Water,2085.35,1657.46,2024-05-16,31
128,Electricity,2479.35,2184.81,2024-06-12,31
129,Gas,1690.6,283.84,2024-04-27,31
130,Water,1007.64,2431.98,2024-10-14,57
131,Electricity,431.95,1633.21,2024-12-01,57
132,Gas,1932.07,439.37,2024-01-22,57
133,Water,692.34,1012.52,2024-07-08,9
134,Electricity,1119.02,2365.19,2024-09-19,9
135,Gas,1194.53,674.62,2024-04-20,9
136,Water,334.52,1860.38,2024-12-17,42
137,Electricity,2119.5,2118.11,2024-03-23,42
138,Gas,336.48,1483.65,2024-06-05,42
139,Water,1093.26,997.87,2024-08-16,2
140,Electricity,533.36,1899.3,2024-10-28,2
141,Gas,943.89,1119.56,2024-08-17,2
142,Water,1173.25,1715.79,2024-06-09,32
143,Electricity,230.98,2140.67,2024-10-01,32
144,Gas,1452.07,2114.2,2024-03-25,32
145,Water,1203.21,1999.82,2024-10-24,58
146,Electricity,756.15,875.25,2024-05-24,58
147,Gas,975.86,2017.66,2024-06-05,58
148,Water,559.72,1586.68,2024-02-11,38
149,Electricity,1663.94,2057.57,2024-03-13,38
150,Gas,1217.95,1897.77,2024-01-30,38
151,Water,1930.02,2456.86,2024-01-12,53
152,Electricity,1238.94,943.34,2024-04-08,53
153,Gas,649.74,525.41,2024-01-27,53
154,Water,1304.19,2451.94,2024-06-21,36
155,Electricity,2249.03,1749.24,2024-09-29,36
156,Gas,2257.21,1138.44,2024-12-16,36
157,Water,1853.73,1541.1,2024-03-11,64
158,Electricity,1918.19,1513.96,2024-02-29,64
159,Gas,1502.23,1516.47,2024-12-17,64
160,Water,1168.7,1249.32,2024-09-07,23
161,Electricity,1122.14,2178.91,2024-12-11,23
162,Gas,2265.57,553.39,2024-08-11,23
163,Water,508.16,168.5,2024-09-21,30
164,Electricity,1471.57,237.14,2024-09-05,30
165,Gas,2238.71,967.41,2024-12-07,30
166,Water,992.47,360.45,2024-02-06,62
167,Electricity,213.71,2323.61,2024-11-20,62
168,Gas,460.65,2390.55,2024-04-10,62
169,Water,791.44,1208.82,2024-03-31,51
170,Electricity,1983.54,2248.11,2024-10-13,51
171,Gas,1797.41,437.5,2024-05-23,51
172,Water,1869.53,737.1,2024-08-25,41
173,Electricity,1652.57,1570.49,2024-04-16,41
174,Gas,1875.69,2398.56,2024-01-11,41
175,Water,782.8,713.49,2024-09-02,55
176,Electricity,1931.0,2059.44,2024-11-25,55
177,Gas,580.1,1816.94,2024-09-29,55
178,Water,1865.15,131.78,2024-03-25,59
179,Electricity,1586.36,1154.29,2024-11-03,59
180,Gas,1308.12,936.66,2024-07-21,59
181,Water,855.9,2356.6,2024-10-08,4
182,Electricity,105.35,544.59,2024-09-12,4
183,Gas,1118.12,2239.99,2024-10-22,4
184,Water,1283.05,992.15,2024-07-30,25
185,Electricity,963.21,665.52,2024-03-24,25
186,Gas,681.77,360.12,2024-09-28,25
187,Water,459.77,1154.37,2024-11-08,49
188,Electricity,724.4,779.39,2024-03-22,49
189,Gas,1881.8,2137.57,2024-07-23,49
190,Water,1695.53,2277.29,2023-12-20,29
191,Electricity,1656.59,276.64,2024-01-29,29
192,Gas,2375.36,2129.03,2024-10-11,29
193,Water,491.48,1918.55,2024-10-23,40
194,Electricity,1830.43,195.29,2024-07-29,40
195,Gas,436.78,1735.74,2024-08-10,40
196,Water,1859.44,570.19,2024-05-16,56
197,Electricity,2004.26,932.51,2024-05-19,56
198,Gas,1424.55,535.06,2024-12-01,56
199,Water,1958.32,1585.25,2024-08-31,16
200,Electricity,1848.31,1596.2,2024-08-24,16
201,Gas,530.85,1659.79,2024-02-05,16
202,Water,341.36,1438.13,2024-01-01,54
203,Electricity,2247.27,2157.26,2024-05-20,54
204,Gas,2325.43,1829.48,2024-12-09,54
205,Water,345.67,806.78,2024-09-29,45
206,Electricity,1345.28,1595.63,2024-05-18,45
207,Gas,767.04,213.93,2024-09-01,45
208,Water,2305.25,526.58,2024-07-09,67
209,Electricity,2499.59,1960.29,2024-06-25,67
210,Gas,471.66,1712.74,2024-02-12,67
